ticker,investorname,securitytype,calendardate,value,units,price
AAPL,VANGUARD GROUP INC,SHR,2023-09-30,222572509140.0,1299997133.0,171.0
MSFT,VANGUARD GROUP INC,SHR,2023-09-30,204987110882.0,649207002.0,315.0
AAPL,BLACKROCK INC,SHR,2023-09-30,176587287081.0,1031407553.0,171.0
MSFT,BLACKROCK INC,SHR,2023-09-30,168495126833.0,533634606.0,315.0
AAPL,BERKSHIRE HATHAWAY INC,SHR,2023-09-30,156753093002.0,915560382.0,171.0
GBX,WELLESLEY ASSET MANAGEMENT,DBT,2023-09-30,147097546000.0,152662588.0,963.0
F,WELLESLEY ASSET MANAGEMENT,DBT,2023-09-30,136501044000.0,138052090.0,988.0
AKAM,WELLESLEY ASSET MANAGEMENT,DBT,2023-09-30,124169775000.0,121437985.0,1022.0
GOOGL,VANGUARD GROUP INC,SHR,2023-09-30,117848728885.0,897469018.0,131.0
